Wavenumber;HDPE;PS
1016.3021;91.7691;95.9956
1018.2305;91.3695;95.7833
1020.159;90.8827;95.5294
1022.0875;90.3599;95.2568
1024.016;89.897;95.0125
1025.9445;89.6185;94.8611
1027.8729;89.636;94.8638
1029.8014;89.9983;95.0511
1031.7299;90.662;95.4045
1033.6583;91.4996;95.8587
1035.5868;92.3447;96.3248
1037.5153;93.052;96.7231
1039.4437;93.5415;97.0077
1041.3722;93.8094;97.1733
1043.3007;93.9059;97.2439
1045.2291;93.8984;97.2536
1047.1576;93.8406;97.2303
1049.0861;93.7593;97.1885
1051.0145;93.6588;97.1318
1052.943;93.5326;97.0589
1054.8715;93.3739;96.9688
1056.7999;93.1804;96.8626
1058.7284;92.9566;96.7439
1060.6569;92.7153;96.6189
1062.5853;92.4796;96.4976
1064.5138;92.2805;96.3935
1066.4423;92.1515;96.3226
1068.3707;92.1181;96.2991
1070.2992;92.1887;96.3304
1072.2277;92.3512;96.4138
1074.1561;92.5781;96.5361
1076.0846;92.8359;96.6779
1078.0131;93.0948;96.8197
1079.9415;93.3341;96.9471
1081.87;93.5428;97.0532
1083.7985;93.7164;97.1379
1085.7269;93.8549;97.2043
1087.6554;93.9612;97.2568
1089.5839;94.0414;97.2989
1091.5123;94.104;97.3338
1093.4408;94.1576;97.3646
1095.3693;94.2081;97.3941
1097.2977;94.2566;97.4235
1099.2262;94.2998;97.452
1101.1547;94.3329;97.4768
1103.0831;94.3523;97.4945
1105.0116;94.3584;97.503
1106.9401;94.3554;97.5024
1108.8685;94.3507;97.4956
1110.797;94.3522;97.4873
1112.7255;94.3664;97.4829
1114.6539;94.3964;97.4869
1116.5824;94.4407;97.5011
1118.5109;94.4937;97.524
1120.4393;94.5472;97.5513
1122.3678;94.593;97.5774
1124.2963;94.625;97.5975
1126.2247;94.6396;97.6083
1128.1532;94.6358;97.6087
1130.0817;94.6136;97.5983
1132.0101;94.574;97.5775
1133.9386;94.5195;97.5469
1135.8671;94.4535;97.5081
1137.7955;94.3779;97.4618
1139.724;94.2888;97.4064
1141.6525;94.1732;97.3357
1143.5809;94.0129;97.2404
1145.5094;93.7952;97.1136
1147.4379;93.5275;96.9588
1149.3663;93.2457;96.7953
1151.2948;93.0077;96.6551
1153.2233;92.8722;96.5712
1155.1517;92.8727;96.5638
1157.0802;93.0015;96.6302
1159.0087;93.2133;96.7467
1160.9371;93.4461;96.879
1162.8656;93.6449;96.9957
1164.7941;93.7774;97.0768
1166.7225;93.8339;97.1147
1168.651;93.8161;97.1092
1170.5795;93.728;97.063
1172.5079;93.5753;96.9804
1174.4364;93.3731;96.8708
1176.3649;93.1536;96.7519
1178.2933;92.9627;96.6475
1180.2218;92.8456;96.5813
1182.1503;92.8281;96.5679
1184.0787;92.9053;96.607
1186.0072;93.0455;96.6848
1187.9357;93.2054;96.7793
1189.8641;93.3488;96.8702
1191.7926;93.4588;96.9446
1193.7211;93.5379;97.0002
1195.6495;93.5998;97.0422
1197.578;93.6592;97.079
1199.5065;93.7248;97.1175
1201.4349;93.7982;97.1602
1203.3634;93.8763;97.2059
1205.2919;93.9544;97.2509
1207.2203;94.0275;97.2917
1209.1488;94.0915;97.3264
1211.0773;94.1438;97.3542
1213.0057;94.1829;97.3753
1214.9342;94.2097;97.3898
1216.8627;94.226;97.3979
1218.7911;94.2349;97.4003
1220.7196;94.2389;97.3986
1222.6481;94.2401;97.3952
1224.5765;94.24;97.3924
1226.505;94.239;97.3907
1228.4335;94.2369;97.3897
1230.3619;94.2327;97.3873
1232.2904;94.2251;97.382
1234.2189;94.213;97.3733
1236.1473;94.1967;97.3621
1238.0758;94.1777;97.35
1240.0043;94.159;97.3388
1241.9327;94.1438;97.3296
1243.8612;94.1344;97.3226
1245.7897;94.1316;97.3177
1247.7181;94.1341;97.3143
1249.6466;94.1391;97.3122
1251.5751;94.1434;97.311
1253.5035;94.1442;97.3105
1255.432;94.1397;97.3098
1257.3605;94.1296;97.3074
1259.2889;94.1144;97.3015
1261.2174;94.0947;97.2904
1263.1459;94.0707;97.2735
1265.0743;94.0412;97.2514
1267.0028;94.0046;97.2255
1268.9313;93.9591;97.1972
1270.8597;93.9043;97.1675
1272.7882;93.8418;97.1369
1274.7167;93.7759;97.1059
1276.6451;93.7122;97.0756
1278.5736;93.6554;97.0472
1280.5021;93.6075;97.0214
1282.4305;93.567;96.9984
1284.359;93.5299;96.9772
1286.2875;93.4924;96.9566
1288.2159;93.4526;96.9361
1290.1444;93.4113;96.9155
1292.0729;93.3705;96.8952
1294.0013;93.331;96.8751
1295.9298;93.2909;96.8541
1297.8583;93.2465;96.8308
1299.7867;93.1941;96.8037
1301.7152;93.1329;96.7726
1303.6437;93.066;96.7388
1305.5721;93.0005;96.7051
1307.5006;92.9447;96.675
1309.4291;92.9062;96.6519
1311.3575;92.8889;96.638
1313.286;92.8917;96.6335
1315.2145;92.9075;96.6359
1317.1429;92.9253;96.6405
1319.0714;92.934;96.6418
1320.9999;92.9274;96.6363
1322.9283;92.9082;96.6247
1324.8568;92.8871;96.6117
1326.7853;92.8783;96.6045
1328.7137;92.893;96.609
1330.6422;92.9346;96.6275
1332.5707;92.9962;96.6569
1334.4991;93.0628;96.6893
1336.4276;93.1152;96.7153
1338.3561;93.1378;96.7267
1340.2845;93.1255;96.7211
1342.213;93.0857;96.7024
1344.1415;93.0324;96.678
1346.0699;92.9792;96.6544
1347.9984;92.9336;96.6353
1349.9269;92.8971;96.6208
1351.8553;92.8668;96.6083
1353.7838;92.837;96.5941
1355.7123;92.8025;96.5748
1357.6407;92.7599;96.5485
1359.5692;92.7092;96.5161
1361.4977;92.654;96.4811
1363.4261;92.6006;96.4483
1365.3546;92.5563;96.4219
1367.2831;92.5288;96.4052
1369.2115;92.5255;96.4012
1371.14;92.5542;96.4132
1373.0685;92.6196;96.4442
1374.9969;92.7204;96.4947
1376.9254;92.8486;96.5619
1378.8539;92.9944;96.6414
1380.7823;93.1515;96.73
1382.7108;93.3181;96.8258
1384.6393;93.4928;96.9273
1386.5677;93.6708;97.0304
1388.4962;93.843;97.1288
1390.4247;94;97.216
1392.3531;94.1353;97.2883
1394.2816;94.2464;97.346
1396.2101;94.3325;97.392
1398.1385;94.393;97.4291
1400.067;94.4287;97.4589
1401.9955;94.4427;97.4815
1403.924;94.4401;97.4961
1405.8524;94.4247;97.5011
1407.7809;94.3976;97.495
1409.7094;94.3581;97.4767
1411.6378;94.3057;97.4458
1413.5663;94.2415;97.4033
1415.4948;94.1662;97.3497
1417.4232;94.0774;97.285
1419.3517;93.9689;97.2085
1421.2802;93.8359;97.1204
1423.2086;93.6781;97.0219
1425.1371;93.4941;96.9113
1427.0656;93.2718;96.7801
1428.994;92.9825;96.6109
1430.9225;92.5864;96.382
1432.851;92.0515;96.0773
1434.7794;91.3782;95.6996
1436.7079;90.6033;95.2703
1438.6364;89.7668;94.8111
1440.5648;88.8769;94.3256
1442.4933;87.9179;93.8041
1444.4218;86.8962;93.2497
1446.3502;85.8874;92.7026
1448.2787;85.0591;92.252
